onset	duration	trial_type	wav_onset	sample	value
1.6565	1.5640	listening	1.6340	1988	もっと話したくて仕方がない
14.7958	5.0000	covert	n/a	17755	話を中断するがもっと話したくて仕方がない
21.8805	1.1480	listening	21.8580	26257	ないという様子だ
111.7365	1.1480	listening	111.7140	134084	という様子だ
118.1317	5.0000	covert	n/a	141758	という様子だ
125.1445	3.4200	listening	125.1220	150173	なんでもあいつらマジで揉め事を起こしたらしいんでさ
131.2033	5.0000	covert	n/a	157444	なんでもあいつら街で揉め事起こしたらしいんでさ
138.2645	2.0760	listening	138.2420	165917	そのように言ってるのを聞きましてね
145.1042	5.0000	covert	n/a	174125	そのように言っているのを聞きましてね
154.5845	2.5560	listening	154.5620	185501	それは本当かもしかして人でも
159.0567	5.0000	covert	n/a	190868	それは本当か?もしかして人でも
168.3765	2.8120	listening	168.3540	202052	小柄な男はこの話題を避けよう
176.7383	5.0000	covert	n/a	212086	殺したのか小柄な男はこの話題を避けよう
192.7842	5.0000	covert	n/a	231341	している
201.8805	3.0360	listening	201.8580	242257	その室務室の外にあるコンテナには何が入っている
208.1925	5.0000	covert	n/a	249831	質問室の外にあるコンテナには何が入っているのか
217.9765	2.3320	listening	217.9540	261572	他とは違う何か違う
229.6383	5.0000	covert	n/a	275566	他とは違う
236.6965	1.8200	listening	236.6740	284036	違う気がする配る
239.2245	2.4280	listening	239.2020	287069	スンのクレーンに取り付けられていた
264.6325	1.8840	listening	264.6100	317559	違う気がする配る
267.1925	2.4280	listening	267.1700	320631	スンのクレーンに取り付けられていた
271.1717	5.0000	covert	n/a	325406	違う気がする。クバルスンのクレーンに取り付けられていた。
278.4565	4.8280	listening	278.4340	334148	男はそう言って極めて優しい微笑みを浮かべる時間は貴重な資源だ
284.8592	5.0000	covert	n/a	341831	男はそう言って極めて優しい微笑みを浮かべる。時間は希少な資源だ。
292.0245	3.7080	listening	292.0020	350429	君と一緒にコントネを数えるために避けるほどの余裕はない
301.5950	5.0000	covert	n/a	361914	君と一緒にコントゥネアを数えるために避けるほどの余裕はない
310.4885	2.1720	listening	310.4660	372586	説得くくらいは試みるべきだな
315.4650	5.0000	covert	n/a	378558	もしれんぞ 説得くらいは試みるべきだな
324.6645	2.3000	listening	324.6420	389597	この言葉が聞けて嬉しいよハリー
329.1392	5.0000	covert	n/a	394967	その言葉が聞けて嬉しいよ、ハリー。
336.8565	2.8120	listening	336.8340	404228	男が笑みを浮かべながら飾ったる
342.4717	5.0000	covert	n/a	410966	男が笑みを浮かべながら飾ったる
349.4965	4.9240	listening	349.4740	419396	気心で部屋の中に入って様子を確かめたりなんてしたかね
356.3283	5.0000	covert	n/a	427594	心で部屋の中に入って様子を確かめたりなんてしたかね
365.9125	2.4920	listening	365.8900	439095	部屋の中までは入っていないそこまでしろって
370.1525	5.0000	covert	n/a	444183	部屋の中までは入っていない、そこまで素人
377.1765	1.3400	listening	377.1540	452612	とは言われなかったんでな
383.7617	5.0000	covert	n/a	460514	言われなかったんでな
391.8005	2.4600	listening	391.7780	470161	男は老快な視線をあなたに送る
396.9858	5.0000	covert	n/a	476383	男は老快な視線をあなたに送る
406.8405	2.2680	listening	406.8180	488209	今回のレンジとストライクの間には
412.2492	5.0000	covert	n/a	494699	今回のレンジとストライクの間には何度も
419.2885	1.9480	listening	419.2660	503146	中の関連性があると聞いた
422.0725	2.1080	listening	422.0500	506487	あんたが知ってることを教えてほしい
426.4367	5.0000	covert	n/a	511724	何らかの関連性があると聞いた。あんたが知ってることを教えてほしい。
437.3365	1.1480	listening	437.3140	524804	男のや
440.4550	5.0000	covert	n/a	528546	夢の死んだ男のやつ
