onset	duration	trial_type	wav_onset	sample	value
57.1688	4.7700	overt	51.1200	58541	シスターが鶴居に飾られる事件がありましたねサン年前は
79.9688	3.8700	overt	73.9200	81888	世界の仮装をした人がキャンディステッキに刺されて死んだっけ
89.8088	3.8400	overt	83.7600	91964	でもあの時は捜査が早く終わってヨン人で打ち上げに行ったじゃん
94.8788	1.8000	overt	88.8300	97156	ジョニーの焼き付けの店で
108.9788	3.4800	overt	102.9300	111594	今日目だみんなマイマデーマネーマネーマネーケー
113.5388	1.1400	overt	107.4900	116264	千年チームの
116.4188	1.4700	overt	110.3700	119213	捜査官だった人よ
129.7388	4.2600	overt	123.6900	132853	早く要件だけ話して出て行ってくださいふざけている場合じゃない
137.6288	3.1800	overt	131.5800	140932	呼び出しだマナ受験専念チーム全員
141.6188	1.5000	overt	135.5700	145018	近から呼び出されたんだ
143.9888	2.2200	overt	137.9400	147445	この建物の内下があったんですか
147.5288	4.8900	overt	141.4800	151070	逃げなきゃティナさん死にたくなければスウェーモンに走って
154.4888	3.6300	overt	148.4400	158197	そういうもんに行ったって意味はないここから窓を割って逃げないと
162.3788	1.7100	overt	156.3300	166276	これで終わりなのか
166.0388	3.7800	overt	159.9900	170024	ブリアンさんまでその地下っていうのは一体どんなところなんですか
172.0988	1.1400	overt	166.0500	176229	管理局の
178.2788	1.0500	overt	172.2300	182558	社会にある
181.5188	4.6500	overt	175.4700	185875	現象の管理と統制そしてそれによって
187.3388	4.9800	overt	181.2900	191835	これによって起きる二次的被害を解消する部署がある
196.0088	3.9600	overt	189.9600	200713	だけど地上での活動は表向きの体外的な姿だけ
201.2288	3.3600	overt	195.1800	206058	管理局の革新的な活動はその地下で起きているの
207.5588	2.2500	overt	201.5100	212540	その革新的な活動というのは
211.6688	3.6300	overt	205.6200	216749	まあ大体人体実験みたいなものかな
221.7488	6.3000	overt	215.7000	227071	地下で何が起きているのかは地下の人しか知らないそれに地下に入った人は消して地上に
228.8588	1.6500	overt	222.8100	234351	戻ってくることはないのよ
234.7388	5.0400	overt	228.6900	240373	まあこれも噂でしかないけど長く続く噂には根拠があるものだからね
