onset	duration	trial_type	wav_onset	sample	value
1.5683	2.9700	overt	1.6500	1882	第ロク節第ニ次欧州対戦
5.3783	16.2600	overt	5.4600	6454	第二次欧州大戦ではドイツのいわゆる電撃作戦がポーランドノールウェーのような弱小国に対して迅速に決戦戦争を強行し得たことはもちろん意図するに足りません
22.3583	12.1200	overt	22.4400	26830	A軍との間にはおそらくマジのジークフリートの戦で総対峙しお互いにその突破が指南で自給戦争になるものと考えたのであります
35.0183	16.3800	overt	35.1000	42022	ドイツがオランダベルギーに侵入することはあってもそれは英国に対する作戦基地を得るためで連合府軍の主力との間に真の対決戦が行われるだろうとは考えられませんでした
51.3983	16.3800	overt	51.4800	61678	ゴ月ジュー日以来のドイツの猛撃は瞬時にオランダベルギーを屈服せしめ難航と信じられたマジの延長戦を突破してベルギーに進出した普通への背後に迫り
67.7783	16.3800	overt	67.8600	81334	たちまちこれを撃滅しさらに歩行転じてマジノ戦異性の地区からパリに迫ってこれを抜きホランダ侵入以来わずかゴ週間で強敵フランスに停戦を壊しめるに至りました
84.1583	16.3800	overt	84.2400	100990	世界史上未曾有の大戦果を挙げフランスに対しても見事な決戦戦争を遂行したのでありますしからば果たしてこれが今日の戦争の本質であるかと申せば私はあえていなと答えます
101.1083	17.2200	overt	101.1900	121330	第一次欧州対戦においてはドイツの武力は連合軍に比し多くの点で極めて優秀でありましたが兵力ははるかに劣勢であり戦意は双方愛譲らないありさまで大体語の勝負でありました
118.9883	11.8650	overt	119.0700	142786	ヒットラーがドイツを支配して以来ドイツは真に諸国一致全力を挙げて軍備の大拡充に努力したのに対し自由
130.8533	11.8650	overt	130.9350	157024	自由主義の普通へは万全これを見送ったために空軍は質量ともに断然ドイツが優勢であることは世界が等しく認めていたのであります
143.3183	18.3000	overt	143.4000	171982	今後いよいよ戦争の幕を開けてみるとドイツ機械化兵団が極めて精鋭かつ優勢であるのみならず一般師団の数も普通A側に対しドイツはおそらくサン分のイチ以上も優勢を保持しているらしいのです
162.1583	13.3050	overt	162.2400	194590	しかも英雄ヒットラーにより全国力が完全に統一運用されているのに対し数年前ドイツがライン真中を決行した時フランスが断然ベルサイル
175.4633	13.3050	overt	175.5450	210556	ドイツに一撃を加えることを主張したのに対し英国は反対しその後も作戦計画につきことごとに意見の位置を見なかったと信じられます
189.9083	8.5800	overt	189.9900	227890	フランスの戦意はこんな関係で第一次欧州対戦のようではなく街の延長戦も計画に止まり
199.1783	2.7600	overt	199.2600	239014	ほとんど構築されていなかったらしいのです
204.6683	1.8000	overt	204.7500	245602	戦力の著しい
207.0383	12.3600	overt	207.1200	248446	劣勢なフランスは国境で主政を取るべきだったと思われますおそらく軍当局はこれを欲したのでしょうが政略に生せられてベルギーに前進し
219.3983	12.3600	overt	219.4800	263278	この有力なベルギー派遣軍がドイツの電撃作戦にあって徹底的打撃を受け英軍は本国へ逃げ帰りました
233.3783	12.8850	overt	233.4600	280054	英国が本気でやる気なら本国などは海軍に一任し全陸軍はフランスで作戦すべきであります英仏の感情はおそらく極めて不良となったこと
246.2633	12.8850	overt	246.3450	295516	確定ドイツが南下するや普通軍はさらに抵抗の実力なく名称ペタン将軍を首相としてドイツに降伏しました
259.9283	2.7300	overt	260.0100	311914	このように考えますと
263.2583	17.9700	overt	263.3400	315910	今時の戦争は全く互角の勝負ではなく連合側の物心両面における華々しい劣勢が必然的にこの結果を招いたのでありますそもそもそも時給戦争は大体互角の戦争力を有する相手の間に
281.2283	17.9700	overt	281.3100	337474	第イチ次欧州対戦では開戦初期の作戦はドイツの前哨を思わせたのでしたがマルヌで不遇の反撃に敗れまた最後のセンキューヒャクジューハチ年のルーデンドルフの対決
299.1983	17.9700	overt	299.2800	359038	北フランスにおける戦場付近で普通英軍に大打撃を与え一時は全く敵を中断して戦争の運命を決し得るのではないかとさえ見えたのでしたがついに失敗に終わりました
318.3383	9.5700	overt	318.4200	382006	両軍は大体互角で自給戦争となりドイツは首都して経済戦に敗れてついに降伏したのであります
329.1083	1.5300	overt	329.1900	394930	フィンランドはソ連に
331.4783	6.3900	overt	331.5600	397774	屈服はしたものの極めて劣勢の兵力で超次日
339.3683	4.8600	overt	339.4500	407242	ソ連の猛撃を支え今日の兵器に対しても
344.7383	18.0000	overt	344.8200	413686	防御威力のいかに大なるかを示しましたまたベルギー戦線でもまだ詳細は分かりませんがブリュッセル方面から敵の正面を攻めたドイツ軍は大きな抵抗にあい容易に敵戦を突破できなかった様子です
363.2483	15.7200	overt	363.3300	435898	現在は第一次欧州対戦に比べると空軍の大進歩戦車の進歩などがありますが十分の戦備と決心を持って戦う敵戦の突破は今日も依然として指南で
379.6283	7.1100	overt	379.7100	455554	戦争時給に陥る降参が多くまた自給戦争の時代であると観察されます
