onset	duration	trial_type	wav_onset	sample	value
9.0008	1.1100	overt	9.4500	10801	ああああ
23.1608	5.7600	overt	23.6100	27793	そしてちょうど食事を終えた頃玄関から歌葉の声がけこいてきた
48.7508	2.3100	overt	49.2000	58501	今日暇してるかなって
51.6308	12.5700	overt	52.0800	61957	特に予定はないよじゃあ一緒に遊ぼうよ私も暇してるんだちよばあちゃんの話を聞いて悩んでいたので誘ってもらえて嬉しかった僕は一緒に出かけることにした
66.0908	18.5400	overt	66.5400	79309	島を歩きながらいろんなことを話した好きな本や家音楽幼い頃の思いで家族の話それでねその時お姉ちゃんがでもどこか上の空だったらしいどうしたのごめん何だったっけ何か気になることでもあった
87.0908	10.8150	overt	87.5400	104509	なんて話せばいいのか分からないけど困ってる人を助けたいんだでも前に困ってる人を助けた時別の人を負け込んでしまったんだその時は
97.9058	10.8150	overt	98.3550	117487	気はなんとかなったんだけどもしかすると取り返しがつかないことになっていたかもしれないだから迷ってるんだ今のままでも平和でみんな幸せで
111.9908	10.8300	overt	112.4400	134389	ジューゴ年前のハチジューキュー年におじいさんは家を出たきり帰ってこなかったみんな口をそろえていったわまた式根島の神隠しが起きたんだって
124.5908	17.1600	overt	125.0400	149509	違うみんなが幸せなわけじゃないかってこのままでもいいんじゃないかってそれでも歌葉だけには過去を変えたいと言えなかった僕のせいで歌葉は一度死んだあや葉は深く傷いた陽ちゃんは苦しんだ
142.7708	19.5000	overt	143.2200	171325	それなのにまた過去を変えることを望んでいいわけがないと思ったごめんねいつき君私には難しくてよくわからないやそうだこんな話が伝わるわけないんだでもねちょっとだけ聞いてほしいことがあるの私の話なんだけど昔とっても
163.9508	6.8100	overt	164.4000	196741	怖い思いをしたことがあるの暗い場所に閉じ込められてもう一生お姉ちゃんに会えないかもしれない
181.8608	19.4100	overt	182.3100	218233	殺されてしまうかもしれないって思ったことがあるのでもねそんな私を助けてくれた人がいるのその人は私のことを抱きしめてこう言ってくれた本当によかった本当によかったってごめんね私にはいつき君が何に悩んでいるのかよく分かってない
202.1408	13.7700	overt	202.5900	242569	でも私を助けてくれた人は待ってる人を見たらまあ弱ず助けるんじゃないかな違う違うんだ例えばその人のせいで君が怖い思いをすることになったんだとしたら
221.9708	9.9300	overt	222.4200	266365	でもその人は誰かを助けるためにそうなっちゃったんだよねだとしたらそれやっぱりそれでいいんだよその人は間違ってないよ
232.5308	9.5400	overt	232.9800	279037	僕のことを見つめながら間違いなくそう言い切った難しく考えすぎていたのかもしれない目の前で大切な人が悲しんでいる
264.3308	10.5900	overt	264.7800	317197	そして僕にはできることがあるなら迷う必要なんてないじゃないかありがとううたはおかげで分かったよ僕が何をするべきかならよかった
276.3308	2.7900	overt	276.7800	331597	手伝ってほしいことがあるんだ
282.0308	11.5350	overt	282.4800	338437	あったこの写真だよそして宇田派に案内してもらった鉄夫さんが亡くなる直前に撮った写真がどこかにないか千代婆ちゃんが話してたの
293.5658	11.5350	overt	294.0150	352279	ありがとう歌葉が見せてくれたその写真はハチジューキュー年のジューニ月に撮られたものだった
305.6408	13.9800	overt	306.0900	366769	徹夫さんが亡くなる直前最後に撮られた家族写真だこの写真を使えば鉄夫さんを助けることができるかもしれないしかしこの写真が撮られたのは冬なのか準備が必要そうだ
321.6908	5.5800	overt	322.1400	386029	準備を終えた僕たちは写真館の外に出て家族写真を見つめた
327.9608	17.1600	overt	328.4100	393553	するとすぐにあの感覚にとらわれるまるで写真に意識が引き込まれていくようなそんな感覚そして意識が途絶える寸前歌葉の声を聞いた月くんもしかしてあなたが私を助けてくれたの
348.0308	4.0200	overt	348.4800	417637	その問いに答える間もなく僕の意識は途絶えた
362.2808	3.5400	overt	362.7300	434737	日がつくと手元から写真はなくなっていた
366.7508	3.8400	overt	367.2000	440101	寒い目の前には原世界が広がっていた
371.7308	15.6600	overt	372.1800	446077	ジューニ月の四季島は雪に包まれその姿を大きく描いていた僕はすぐにニセンヨン年から持ってきておいたコートを羽織ったまずは徹夫さんの動向を探ろう
395.0708	2.1300	overt	395.5200	474085	うまくいかないかもしれない
400.0508	12.4500	overt	400.5000	480061	また誰かを負け込んでしまうかもしれないそれでも大切な人たちのために自分ができることをやろう僕はそう心に決めて雪を踏みしめて歩き始めた
437.1908	17.7600	overt	437.6400	524629	寒さに震えながら雪を踏みしめ写真館へ向かって歩いた過去へ飛ぶとちょうど写真が撮られた時間に着くあの家族写真は写真館で撮られていたはずだ鉄尾さんの居場所を確認しよう
459.2408	5.8800	overt	459.6900	551089	写真館に入ると家族写真の撮影を終えたばかりの桜家の姿があった
466.8908	1.2300	overt	467.3400	560269	すみません
468.8408	17.9100	overt	469.2900	562609	僕がそう呼びかけると初老の男性がやってきた写真で見たのと同じ姿だ彼が徹夫さんに違いない鉄夫さんは無言で僕の顔で僕の顔で少し怖いなお前島の子か
487.6208	3.9000	overt	488.0700	585145	親戚の家に島の外から遊びに来ました
498.2708	1.4700	overt	498.7200	597925	バー三脚だ
505.1408	1.4700	overt	505.5900	606169	はじめまして
507.4808	8.3100	overt	507.9300	608977	ようこそ桜写真館へ親戚にここの建物は立派だから見せてもらえと言われてお邪魔しました
523.2908	4.2600	overt	523.7400	627949	こんな古い建物でもよければゆっくり見ていってね
528.9008	3.3300	overt	529.3500	634681	下手な言い訳だったけど通じてよかった
537.4808	7.3500	overt	537.9300	644977	千葉ばっさん出かけてくる雪が降ってるから気をつけてくださいねどこか行かれるんですか
545.4308	7.1100	overt	545.8800	654517	お前には関係ないだろう急いでいるんだそして哲夫さんは写真館の外に出て行ってしまった
553.6808	17.3400	overt	554.1300	664417	徹夫さんがどこに行ったか知りませんか人と会うって言ってたけどこへ行くかは聞いてないわねあの人いつも黙ってどっかに行っちゃうのありがとうございますとっても素敵な建物でした幼児を思い出したのでじゃあちょっと急にどうしたのかしら
