onset	duration	trial_type	wav_onset	sample	value
13.0605	3.3880	listening	13.0580	15673	ブルードの中にワークブーツの足跡が吹く
41.7100	5.0000	covert	n/a	50052	泥の中にワークブーツの足跡が複数ある
48.7405	1.2120	listening	48.7380	58489	数残されている
50.5965	3.1640	listening	50.5940	60716	ロク人からジューニ人の集団がここを歩いたようだ
73.9817	5.0000	covert	n/a	88778	6年から10年の集団がここを歩いたようだ
83.0125	3.0040	listening	83.0100	99615	レスクに座ったキツラゲケーブフォア
87.8417	5.0000	covert	n/a	105410	デスクに座ったキツラゲ警部補は
95.7805	2.2680	listening	95.7780	114937	手の中でペーンはしていたが
101.8025	5.0000	covert	n/a	122163	手の中でペンを回していたが
109.8285	3.9640	listening	109.8260	131794	目の前の壁に何かを記入する
115.8708	5.0000	covert	n/a	139045	目の前の画面に何かを記入する
124.4205	2.5880	listening	124.4180	149305	そんなことをしている場合ではなく
129.9900	5.0000	covert	n/a	155988	そんなことをしている場合ではなく
143.3867	5.0000	covert	n/a	172064	この場でのこの場で
154.1165	1.2760	listening	154.1140	184940	それとも食うのに
157.9300	5.0000	covert	n/a	189516	それとも食うのに
164.9005	3.4200	listening	164.8980	197881	一杯食わせてやった話をするのかあの状況で
172.0083	5.0000	covert	n/a	206410	お前のことを聞いてくれ
178.9485	5.0520	listening	178.9460	214738	前の決断力が亀裂と秩序を悶じる老心をうならせる熱
192.5742	5.0000	covert	n/a	231089	お前の決断力が規律と秩序を重んじる老人を唸らせる日
206.3408	5.0000	covert	n/a	247609	違いない
214.0205	3.4520	listening	214.0180	256825	風呂を殴り倒してやったらしつけが必要だったから
220.5625	5.0000	covert	n/a	264675	フードを殴り倒してやったしつけが必要だったから
228.7085	3.8680	listening	228.7060	274450	アルコール依存症の父親に殴られているジューニ歳
235.1783	5.0000	covert	n/a	282214	アルコール依存症の父親に殴られている12歳の子が
242.3725	1.6600	listening	242.3700	290847	ハーブ中毒者のことか
245.3485	1.5320	listening	245.3460	294418	彼の眼光が光る
249.4300	5.0000	covert	n/a	299316	ハーブ中毒者のことか彼の眼光が光る
259.1405	2.0760	listening	259.1380	310969	いやそのもう仲直りした
265.3825	5.0000	covert	n/a	318459	いやその、もう仲直りした
