onset	duration	trial_type	wav_onset	sample	value
5.5308	5.2200	overt	5.6100	6637	マターファがヤルートへ流された後もドミンの一気は絶えなかった
11.5608	5.6700	overt	11.6400	13873	センハッピャクキュージューサン年の暮れかつてのサモア王玉瀬の意地が
17.8908	2.6400	overt	17.9700	21469	ループワ族を率いて兵を挙げた
21.1008	15.3900	overt	21.1800	25321	ショータマセセは王よび全白人の当該包図あるいは戦滅を標榜して起こったのだが結局ラウペパ王貴下のサバイー勢に攻められてアーナでついえた
37.1208	12.1200	overt	37.2000	44545	反軍に対する処罰としてはジューゴ兆の没収未納の税金徴収ニジューマイルの道路工事等が課せられたにすぎなかった
49.8108	5.1900	overt	49.8900	59773	前のマターファの場合の原末と比べてあまりに不公平である
55.8408	3.2700	overt	55.9200	67009	父のタマセセが昔ドイツ人に
60.1308	7.5000	overt	60.2100	72157	擁立されたロボットだった関係で小玉瀬戦には一部ドイツ人の支持があったからだ
68.3208	4.9800	overt	68.4000	81985	スティーブンスンはまた無益な抗議を方法に向かって試みた
73.9008	2.7000	overt	73.9800	88681	小玉瀬に原末を与えよと
77.4708	1.8000	overt	77.5500	92965	というのではもちろんない
79.9008	2.4000	overt	79.9800	95881	マターファの原型を求めたのだ
83.1108	5.9100	overt	83.1900	99733	人々はもはやスティーブンスンがマターファの名を口に出すと笑い出すようになった
89.8608	7.8600	overt	89.9400	107833	それでも彼は無機になって本国の新聞や雑誌にサムアの事情を繰り返し繰り返し訴えた
98.8608	4.0500	overt	98.9400	118633	今度の騒ぎにもやはり首刈りが盛んに行われた
103.7808	7.4400	overt	103.8600	124537	首刈り反対論者のスティーブンスンは早速首を切り取ったものに対する処罰を要求した
111.9408	11.5800	overt	112.0200	134329	その乱の始まる直前に信任のチーフジャスティスの言い出しが議会を通じて首刈り禁止令を出しているのだからこれは当然である
124.3608	3.8400	overt	124.4400	149233	しかしこの処罰は実際には行われなかった
129.2808	1.7700	overt	129.3600	155137	スティーブンスンは生き通った
131.8308	1.8900	overt	131.9100	158197	島の宗教家どもが
134.4708	4.5900	overt	134.5500	161365	案外首刈りについて無関心なのにも彼は腹を立てた
139.9908	5.5500	overt	140.0700	167989	ウォッカのところサバイイ族はあくまで首刈りを固執しているが
146.1708	5.2500	overt	146.2500	175405	ツアマサンガ族は首の代わりに耳を切り取るだけで我慢しているのだ
152.5908	5.2200	overt	152.6700	183109	かつてのマターファのごときは部下にほとんど絶対に首を取らせなかった
158.9508	5.7300	overt	159.0300	190741	努力一つで必ずこの悪臭は根絶できるのだと彼は考えていた
167.9808	12.0300	overt	168.0600	201577	セザルクランツの失勢の跡を受け今度のチーフジャスティスは次第に白人や土人の間における政府の信用を回復しつつあるかに見えた
180.5808	11.8200	overt	180.6600	216697	しかし小規模の暴動やド民間の紛争や白人への脅迫はセンハッピャクキュージューヨン年を通じていつも耐えることがなかった
